Sample	Up/Down	Total reads in sample	Matching reads
Shigella_gut_SUL	Upstream	1654	1166
Shigella_soil_APS	Upstream	1113	988
Shigella_gut_CEF	Upstream	2467	1635
Shigella_soil_CFD	Upstream	4177	1923
Salmonella_soil_GEP	Upstream	2241	2016
Shigella_soil_DEL	Upstream	1862	1562
Shigella_soil_GEP	Upstream	1315	1041
Shigella_soil_SUL	Upstream	1991	1430
Shigella_gut_DOX	Upstream	2769	2200
Shigella_soil_CEF	Upstream	1698	1319
Shigella_soil_GEN	Upstream	2554	2143
Shigella_soil_OMA	Upstream	1616	945
Shigella_soil_FOX	Upstream	5335	4610
Ecoli_gut_CFD	Downstream	1380	11
Ecoli_patho_GEN	Downstream	2067	16
Ecoli_gut_DOX	Downstream	1617	22
Ecoli_gut_DEL	Downstream	2095	21
Ecoli_gut_MOX	Downstream	1341	13
Ecoli_gut_GEP	Downstream	1449	25
Ecoli_gut_MER	Downstream	2150	19
Ecoli_patho_FOX	Downstream	1315	13
Ecoli_patho_CEF	Downstream	1973	19
Ecoli_soil_CEF	Downstream	1011	16
Ecoli_gut_CEF	Downstream	1441	168
Ecoli_patho_GEP	Downstream	1544	178
Ecoli_soil_DOX	Downstream	1720	21
Ecoli_patho_DOX	Downstream	2968	348
Ecoli_gut_PXB	Downstream	1450	6
Ecoli_patho_CFD	Downstream	1818	14
Ecoli_patho_DEL	Downstream	1438	6
Ecoli_patho_ERA	Downstream	1687	23
Klebsiella_gut_GEN	Downstream	1171	21
Ecoli_patho_MOX	Downstream	2979	550
Ecoli_patho_SUL	Downstream	1972	9
Ecoli_gut_ERA	Downstream	2397	13
Ecoli_gut_OMA	Downstream	3856	571
Klebsiella_gut_APS	Downstream	1786	5
Ecoli_patho_PXB	Downstream	1555	11
Klebsiella_gut_DEL	Downstream	1296	17
Klebsiella_gut_CFD	Downstream	3352	20
Ecoli_soil_MOX	Downstream	1679	15
Ecoli_soil_OMA	Downstream	1041	25
Klebsiella_gut_ERA	Downstream	963	12
Klebsiella_patho_DOX	Downstream	3728	7
Ecoli_soil_DEL	Downstream	1089	187
Ecoli_patho_MER	Downstream	2434	23
Klebsiella_patho_FOX	Downstream	3327	371
