"Card.Res.Gene.Annotations"	"mechanism"	"classification"
"tet(A)"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"tet(A)_2_X00006"	"Increased efflux"	"nan"
"tet(A)_3_AY196695"	"Increased efflux"	"nan"
"tet(C)_3_AF055345"	"Increased efflux"	"nan"
"tet(J)"	"antibiotic efflux"	"major facilitator superfamily (MFS) antibiotic efflux pump"
"tet(J)_1_ACLE01000065"	"Increased efflux"	"nan"
"tet(M)_4_X75073"	"Target protection"	"nan"
"tet(O/32/O)_2_AJ295238"	"Target protection"	"nan"
"tet(O/W)_1_AM889118"	"Target protection"	"nan"
"tet(Q)_2_X58717"	"Target protection"	"nan"
"tet(T)_2_AY660530"	"Target protection"	"nan"
"tet(W)_2_AY049983"	"Target protection"	"nan"
"tet(W/32/O)_1_AM710601"	"Target protection"	"nan"
"tet(W/N/W)"	"antibiotic target protection"	"tetracycline-resistant ribosomal protection protein"
"tet(X)_1_GU014535"	"Enzymatic inactivation"	"nan"
"Tet(X5)"	"antibiotic inactivation"	"tetracycline inactivation enzyme"
"tet37"	"antibiotic inactivation"	"tetracycline inactivation enzyme"
"tetA(46)"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"tetA(60)"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"tetB(46)"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"tetW"	"antibiotic target protection"	"tetracycline-resistant ribosomal protection protein"
"tetX"	"antibiotic inactivation"	"tetracycline inactivation enzyme"
"TLA-1"	"antibiotic inactivation"	"TLA beta-lactamase"
"TLA-2"	"antibiotic inactivation"	"TLA beta-lactamase"
"tolC"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"
"tsnR"	"antibiotic target alteration"	"non-erm 23S ribosomal RNA methyltransferase (A1067)"
"TUS-1 beta-lactamase"	"antibiotic inactivation"	"TUS beta-lactamase"
"Txr"	"antibiotic efflux"	"ATP-binding cassette (ABC) antibiotic efflux pump"
"ugd"	"antibiotic target alteration"	"pmr phosphoethanolamine transferase"
"vanA"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;van ligase"
"VanC2XY_3_EU151757"	"Target modification"	"nan"
"VanC4XY_1_EU151752"	"Target modification"	"nan"
"vanD"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;van ligase"
"vanE"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;van ligase"
"vanHB"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanH"
"VanHBX_1_AF192329"	"Target modification"	"nan"
"vanHD"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanH"
"VanHDX_5_AY489045"	"Target modification"	"nan"
"VanHDX_6_DQ172830"	"Target modification"	"nan"
"VanHOX_1_KF478993"	"Target modification"	"nan"
"vanJ"	"antibiotic target alteration"	"vanJ membrane protein"
"vanKI"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanK"
"vanRC"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanR"
"vanRF"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanR"
