Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
catB11	catB11	chloramphenicol acetyltransferase (CAT)	CAT	antibiotic inactivation	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
CblA-1	CblA-1	CblA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CblA beta-lactamase
CcrA beta-lactamase	CcrA	CcrA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CcrA beta-lactamase
cdeA	cdeA	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
cepA-44_1_U05885	cepA-44	cepA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal
cepA beta-lactamase	cepA	cepA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	cepA beta-lactamase
cfiA1_1_AB087225	cfiA1	CcrA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal metallo beta-lactamase
cfiA14_1_FM200789	cfiA14	CcrA beta-lactamase	Beta-lactamase	antibiotic inactivation	Enzymatic inactivation	Chromosomal metallo beta-lactamase
clcD	clcD	Cfr 23S ribosomal RNA methyltransferase	Cfr 23S ribosomal RNA methyltransferase	antibiotic target alteration	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase
cmeB	cmeB	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cmeC	cmeC	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
cmlB	cmlB	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
cmr_1_U43535	cmr	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	Chromosomal in Corynebacterium glutamicum, Eryhtomycin, Tylosin, Rifampicin and Tetracycline resistance when expressed in laboratory Escherichia coli
CMY-39	CMY-39	CMY beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CMY beta-lactamase
cphA7	cphA7	CphA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CphA beta-lactamase
CrcB	CrcB	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
CRP	CRP	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
CTX-M-121	CTX-M-121	CTX-M beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CTX-M beta-lactamase
CTX-M-130	CTX-M-130	CTX-M beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CTX-M beta-lactamase
CTX-M-14	CTX-M-14	CTX-M beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CTX-M beta-lactamase
CTX-M-27	CTX-M-27	CTX-M beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	CTX-M beta-lactamase
determinant of bleomycin resistance	determinant of bleomycin resistance	Bleomycin resistant protein	Bleomycin resistant protein	antibiotic inactivation	antibiotic inactivation	Bleomycin resistant protein
dfrA29_1_AM237806 	dfrA29	trimethoprim resistant dihydrofolate reductase dfr	trimethoprim resistant dihydrofolate reductase dfr	antibiotic target replacement	nan	nan
dfrB1	dfrB1	trimethoprim resistant dihydrofolate reductase dfr	trimethoprim resistant dihydrofolate reductase dfr	antibiotic target replacement	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
DHA-15	DHA-15	DHA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	DHA beta-lactamase
DHA-7	DHA-7	DHA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	DHA beta-lactamase
emeA	emeA	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
emrK	emrK	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
Enterococcus faecium chloramphenicol acetyltransferase	Enterococcus faecium chloramphenicol acetyltransferase	chloramphenicol acetyltransferase (CAT)	CAT	antibiotic inactivation	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
eptA	eptA	pmr phosphoethanolamine transferase	pmr phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	pmr phosphoethanolamine transferase
Erm(48)	Erm(48)	Erm 23S ribosomal RNA methyltransferase	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
erm(V)_1_U59450	ErmV	Erm 23S ribosomal RNA methyltransferase	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	Target modification	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"
evgS	evgS	major facilitator superfamily (MFS) antibiotic efflux pump, resistance-nodulation-cell division (RND) antibiotic efflux pump	"MFS; RND efflux pump"	regulator of efflux pumps	antibiotic efflux	"major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump"
farA	farA	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
farB	farB	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
FEZ-1 beta-lactamase	FEZ-1	FEZ beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	FEZ beta-lactamase
fomB_1_AB016934	FomB	Fom phosphotransferase family	Fom phosphotransferase family	antibiotic inactivation	Enzymatic inactivation	nan
fosA_2_AGDM01000012	FosA	fosfomycin thiol transferase	fosfomycin thiol transferase	antibiotic inactivation	Enzymatic inactivation	nan
FOX-3	FOX-3	FOX beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	FOX beta-lactamase
GIM-1	GIM-1	GIM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	GIM beta-lactamase
gimA	gimA	gimA family macrolide glycosyltransferase	gimA family macrolide glycosyltransferase	antibiotic inactivation	antibiotic inactivation	gimA family macrolide glycosyltransferase
hmrM	hmrM	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
hp1181	hp1181	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
ICR-Mc	ICR-Mc	intrinsic colistin resistant phosphoethanolamine transferase	intrinsic colistin resistant phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	intrinsic colistin resistant phosphoethanolamine transferase
kgmB_1_S60108	kgmB	16S rRNA methyltransferase	16S rRNA methyltransferase	antibiotic target alteration	Target protection	Chromosomal in Streptomyces tenebrarius
KHM-1 beta-lactamase	KHM-1	KHM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	KHM beta-lactamase
kmr_1_ENA_ACB88605	kmr	16S rRNA methyltransferase	16S rRNA methyltransferase	antibiotic target alteration	Target protection	Chromosomal in Sorangium cellulosum
LlmA 23S ribosomal RNA methyltransferase	LlmA 23S ribosomal RNA methyltransferase	Llm 23S ribosomal RNA methyltransferase	Llm 23S ribosomal RNA methyltransferase	antibiotic target alteration	antibiotic target alteration	Llm 23S ribosomal RNA methyltransferase
LMB-1	LMB-1	LMB beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	LMB beta-lactamase
LpsA	LpsA	Intrinsic peptide antibiotic resistant Lps	Intrinsic peptide antibiotic resistant Lps	reduced permeability to antibiotic	reduced permeability to antibiotic	Intrinsic peptide antibiotic resistant Lps
LptD	LptD	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
LRA-12	LRA-12	LRA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	subclass B3 LRA beta-lactamase
LRA-13	LRA-13	LRA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	"class C LRA beta-lactamase;class D LRA beta-lactamase"
