ID	CARD|ARO Accession	CARD|CVTERM ID	CARD|Model Sequence ID	CARD|Model ID	CARD|Model Name	CARD|ARO Name	CARD|Protein Accession	CARD|DNA Accession	CARD|AMR Gene Family	CARD|Drug Class	CARD|Resistance Mechanism	RES|Gene_accession no.	RES|Class	RES|Phenotype	RES|PMID	RES|Mechanism of resistance	RES|Notes	RES|Required_gene
CardRes_01711	ARO:3001992	38392	1964	1815	CTX-M-134	CTX-M-134	AFX60298.1	JX896165	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-134_1_JX896165	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_01712	ARO:3000880	37260	932	1816	TEM-8	TEM-8	CAA46344.1	X65252	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-8_1_X65252	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	1416873	Enzymatic inactivation	Class A	nan
CardRes_01713	ARO:3000118	36257	475	1817	vgaB	vgaB	AAB95639.1	U82085	ABC-F ATP-binding cassette ribosomal protection protein	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	vga(B)_1_U82085	"Streptogramin A, Streptogramin B"	Quinupristin+Dalfopristin	"9427556, 15728891, 27006457"	Target protection	ABC transporter	nan
CardRes_01714	ARO:3003181	39758	2105	1818	GES-26	GES-26	AJP67510.1	KP096411	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation							
CardRes_01715	ARO:3000875	37255	4678	1819	TEM-3	TEM-3	CAA45828.1	X64523.1	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-3_1_X64523	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	1331747	Enzymatic inactivation	Class A	nan
CardRes_01716	ARO:3002986	39420	4677	1820	bacA	bacA	AAC76093.1	U00096.3	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration							
CardRes_01717	ARO:3002561	38961	581	1821	AAC(6')-Ir	AAC(6')-Ir	AAD03490.1	AF031326	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aac(6')-Ir_1_AF031326	Aminoglycoside	"Amikacin, Tobramycin"	10188279	Enzymatic modification	Chromosomal in Acinetobacter	nan
CardRes_01718	ARO:3002391	38791	815	1823	OXY-1-3	OXY-1-3	AAL78275.1	AY077482	OXY beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	blaOXY-1-3_3_AY077482	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	12807183	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_01719	ARO:3000866	37246	498	1824	oleI	oleI	ABA42118.2	DQ195535	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation							
CardRes_01720	ARO:3001889	38289	1704	1825	CTX-M-27	CTX-M-27	AAO61597.1	AY156923	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-27_1_AY156923	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	12775683	Enzymatic inactivation	Class A	nan
CardRes_01721	ARO:3003063	39497	489	1826	ykkC	ykkC	CAB13166.1	AL009126	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux							
CardRes_01722	ARO:3001064	37444	1149	1827	SHV-5	SHV-5	CAA39164.1	X55640	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-5_1_X55640	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	2088203	Enzymatic inactivation	Class A	nan
CardRes_01723	ARO:3002335	38735	1969	1828	GES-6	GES-6	AAR97271.1	AY494718	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaGES-6_1_AY494718	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin"	15135524	Enzymatic inactivation	Class A; perhaps some carbapenase activity	nan
CardRes_01724	ARO:3002100	38500	1284	1829	CMY-87	CMY-87	BAL63057.1	AB699171	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-87_1_AB699171	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	Unpublished	Enzymatic inactivation	Class C;CMY-2-like;;;	nan
CardRes_01725	ARO:3002639	39039	545	1830	APH(3'')-Ib	APH(3'')-Ib	ABK33456.1	AF313472	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation	aph(3'')-Ib_4_AF313472	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	"Alternative name strA, orfH"	nan
CardRes_01726	ARO:3002589	38989	207	1831	AAC(6')-Iid	AAC(6')-Iid	CAE50925.1	AJ584700	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aac(6')-Iid_1_AJ584700	Aminoglycoside	"Amikacin, Tobramycin"	15849260	Enzymatic modification	Chromosomal in Enterococcus hirae	nan
CardRes_01727	ARO:3002791	39225	145	1832	QnrS2	QnrS2	ABF47470.1	DQ485530	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrS2_1_DQ485530	Quinolone	Ciprofloxacin	18426894	Target protection	nan	nan
CardRes_01728	ARO:3001560	37960	1379	1833	OXA-374	OXA-374	AHL30274.1	KF986255	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-374_1_KF986255	Beta-lactam	Unknown	28925528	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;ISAba1 insertion into the promoter region is required for carbapenem resistance	nan
CardRes_01729	ARO:3000961	37341	852	1834	TEM-94	TEM-94	CAC85661.1	AJ318094	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-94_1_AJ318094	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	15855509	Enzymatic inactivation	Class A	nan
CardRes_01730	ARO:3001666	38066	1372	1836	OXA-201	OXA-201	ADX07746.1	HQ734812	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-201_1_HQ734812	Beta-lactam	Unknown	22422849	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01731	ARO:3001920	38320	1781	1837	CTX-M-59	CTX-M-59	ABD73290.1	DQ408762	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-59_1_DQ408762	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	18347108	Enzymatic inactivation	Class A	nan
CardRes_01732	ARO:3001824	38224	1893	1838	ACT-5	ACT-5	ACJ05689.1	FJ237369	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	blaACT-5_1_FJ237369	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	unpublished	Enzymatic inactivation	Class C - might give carbapenem resistance or reduced susceptibility in combination with other changes	nan
CardRes_01733	ARO:3002614	39014	4676	1839	aadA14	aadA14	CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	aadA14_1_AJ884726	Aminoglycoside	"Spectinomycin,Streptomycin"	15980396	Enzymatic modification	nan	nan
CardRes_01734	ARO:3002069	38469	1443	1840	CMY-59	CMY-59	BAJ17544.1	AB587082	CMY beta-lactamase	cephamycin	antibiotic inactivation							
CardRes_01735	ARO:3001621	38021	1465	1841	OXA-76	OXA-76	AAX51234.1	AY949203	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-76_1_AY949203	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01736	ARO:3001860	38260	1356	1842	IMI-3	IMI-3	ACX71212.1	GU015024	IMI beta-lactamase	carbapenem	antibiotic inactivation	blaIMI-3_1_GU015024	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	unpublished	Enzymatic inactivation	Class A; perhaps some carbapenase activity	nan
CardRes_01737	ARO:3002667	39067	4675	1843	rmtD	rmtD	ABY64751.1	EU269034.2	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtD_1_DQ914960	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin, Arbekacin"	17158944	Target protection	nan	nan
CardRes_01738	ARO:3001648	38048	1368	1844	OXA-128	OXA-128	ABY77907.1	EU375515	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-128_1_EU375515	Beta-lactam	Unknown	19223304	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01739	ARO:3001683	38083	1298	1845	OXA-312	OXA-312	AGU69250.1	KF057029	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-312_1_KF057029	Beta-lactam	Unknown	24247131	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01740	ARO:3001951	38351	1864	1846	CTX-M-91	CTX-M-91	ACX34099.1	GQ870432	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-91_1_GQ870432	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_01741	ARO:3000074	36213	20	1847	emrB	emrB	AAC75733.1	U00096	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux							
CardRes_01742	ARO:3001936	38336	1743	1848	CTX-M-75	CTX-M-75	ACS32294.1	GQ149244	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-75_1_GQ149244	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	19748435	Enzymatic inactivation	Class A	nan
CardRes_01743	ARO:3000449	36588	653	1850	FomB	FomB	BAA32494.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation							
CardRes_01744	ARO:3002323	38723	1869	1851	KPC-13	KPC-13	AEA73284.1	HQ342889	KPC beta-lactamase	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation	blaKPC-13_1_HQ342889	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	Unpublished	Enzymatic inactivation	Class A;Group 2f;	nan
CardRes_01745	ARO:3002666	39066	691	1852	rmtF	rmtF	AFJ11385.1	JQ808129	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtF_1_JQ808129	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin"	22547620	Target protection	nan	nan
CardRes_01746	ARO:3001415	37815	5512	1853	OXA-20	OXA-20	ACC55538.1	CP000863.1	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-20_1_AY307114	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid"	15004037	Enzymatic inactivation	Class D;OXA-20-like;;;	nan
CardRes_01747	ARO:3000859	37239	533	1854	rmtA	rmtA	BAC20579.1	AB083212	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtA_1_AB120321	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin, Isepamicin, Arbekacin, Kanamycin"	14667745	Target protection	nan	nan
CardRes_01748	ARO:3001933	38333	1591	1855	CTX-M-72	CTX-M-72	AAV97957.1	AY847148	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-72_1_AY847148	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	19590148	Enzymatic inactivation	Class A	nan
CardRes_01749	ARO:3002735	39169	573	1856	QnrB20	QnrB20	BAG55487.1	AB379831	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection							
CardRes_01750	ARO:3002279	38679	1166	1857	VIM-9	VIM-9	AAS13760.1	AY524988	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-9_1_AY524988	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	Unpublished	Enzymatic inactivation	Subclass B1	nan
CardRes_01751	ARO:3001573	37973	1135	1858	OXA-387	OXA-387	AHK51384.1	KJ173478	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-387_1_KJ173478	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01752	ARO:3003193	39770	3307	1859	QnrVC7	QnrVC7	AJA36815.1	KM555152	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrVC7_1_KM555152	Quinolone	Ciprofloxacin	25769785	Target protection	nan	nan
CardRes_01753	ARO:3001465	37865	1205	1860	OXA-165	OXA-165	ADK35869.1	HM488986	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-165_1_HM488986	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-23-like;;;	nan
CardRes_01754	ARO:3002478	38878	1268	1861	LEN-15	LEN-15	AAL50725.1	AF452105	LEN beta-lactamase	penam;penem	antibiotic inactivation	blaLEN15_1_AF452105	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	unpublished	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_01755	ARO:3001640	38040	1449	1862	OXA-109	OXA-109	ABV31689.1	EF650035	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-109_1_EF650035	Beta-lactam	Unknown	17850339	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_01756	ARO:3002273	38673	1006	1863	VIM-3	VIM-3	AAG27703.1	AF300454	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-3_1_AF300454 	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	11451678	Enzymatic inactivation	Subclass B1	nan
