ID	CARD|ARO Accession	CARD|CVTERM ID	CARD|Model Sequence ID	CARD|Model ID	CARD|Model Name	CARD|ARO Name	CARD|Protein Accession	CARD|DNA Accession	CARD|AMR Gene Family	CARD|Drug Class	CARD|Resistance Mechanism	RES|Gene_accession no.	RES|Class	RES|Phenotype	RES|PMID	RES|Mechanism of resistance	RES|Notes	RES|Required_gene
CardRes_00170	ARO:3000549	36688	596	183	adeS	adeS	ADM92606.1	HM440348	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux							
CardRes_00171	ARO:3002514	38914	1426	184	OCH-1	OCH-1	CAC04522.1	AJ401618	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation							
CardRes_00172	ARO:3001778	38178	1129	185	OXA-232	OXA-232	AGD91915.1	JX423831	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-232_1_JX423831	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam"	23305656	Enzymatic inactivation	Class D;OXA-48-like;;;	nan
CardRes_00173	ARO:3001407	37807	1123	186	OXA-12	OXA-12	AAA83417.1	U10251	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation							
CardRes_00174	ARO:3001535	37935	808	187	OXA-348	OXA-348	AGW83446.1	KF297577	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-348_1_KF297577	Beta-lactam	Unknown	24288029	Enzymatic inactivation	Class D;OXA-213-like;Natural in Acinetobacter calcoaceticus;;	nan
CardRes_00175	ARO:3001141	37521	1641	188	SHV-89	SHV-89	ABA60809.1	DQ193536	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-89_1_DQ193536	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	18587684	Enzymatic inactivation	Class A	nan
CardRes_00176	ARO:3001881	38281	1009	189	CTX-M-19	CTX-M-19	AAK55534.1	AF325134	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-19_1_AF325134	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	11709308	Enzymatic inactivation	Class A	nan
CardRes_00177	ARO:3001480	37880	2003	190	OXA-195	OXA-195	AEB98921.1	HQ425493	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-195_1_HQ425493	Beta-lactam	Unknown	22083478	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter nosocomialis;;	nan
CardRes_00178	ARO:3001814	38214	1047	191	OXA-199	OXA-199	AFC95894.1	JN704570	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-199_1_JN704570	Beta-lactam	Unknown	23110226	Enzymatic inactivation	Class D;OXA-48-like;;;	nan
CardRes_00179	ARO:3001900	38300	1352	192	CTX-M-38	CTX-M-38	AAV70602.1	AY822595	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-38_1_AY822595	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00180	ARO:3000983	37363	1154	193	TEM-121	TEM-121	AAQ01671.1	AY271267	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-121_1_AY307374	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	15561821	Enzymatic inactivation	Class A	nan
CardRes_00181	ARO:3001116	37496	2026	194	SHV-61	SHV-61	CAI30650.2	AJ866284	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-61_1_AJ866284	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	19272757	Enzymatic inactivation	Class A	nan
CardRes_00182	ARO:3001919	38319	1705	195	CTX-M-58	CTX-M-58	ABM97538.1	EF210159	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-58_1_EF210159	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00183	ARO:3001918	38318	1629	197	CTX-M-56	CTX-M-56	ABN48311.1	EF374097	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-56_1_EF374097	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	17548490	Enzymatic inactivation	Class A	nan
CardRes_00184	ARO:3001002	37382	1242	198	TEM-138	TEM-138	AAW47922.1	AY853593	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-138_1_AY853593	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	16940125	Enzymatic inactivation	Class A	nan
CardRes_00185	ARO:3002493	38893	1718	199	SRT-1	SRT-1	BAA23130.1	AB008454	SRT beta-lactamase	cephalosporin	antibiotic inactivation	blaSRT-1_1_AB008454	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	9449282	Enzymatic inactivation	Chromosomal class C beta-lactamase	nan
CardRes_00186	ARO:3002477	38877	5873	200	LEN-14	LEN-14	AAP93847.1	AY265889	LEN beta-lactamase	penam;penem	antibiotic inactivation							
CardRes_00187	ARO:3002516	38916	1582	201	OCH-3	OCH-3	CAC17623.1	AJ295341	OCH beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation	blaOCH-3_1_AJ295341	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	11451692	Enzymatic inactivation	Chromosomal	nan
CardRes_00188	ARO:3001150	37530	1620	202	SHV-101	SHV-101	ABV72593.1	EU155018	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-101_1_EU155018	Beta-lactam	Unknown	17804424	Enzymatic inactivation	Class A	nan
CardRes_00189	ARO:3002403	38803	1695	203	OXY-2-8	OXY-2-8	AAL17873.1	AY055205	OXY beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation	blaOXY-2-8_8_AY055205	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	12019142	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00190	ARO:3003179	39756	2129	204	VIM-43	VIM-43	AJP67511.1	KP096412	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-43_1_KP096412	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	Unpublished	Enzymatic inactivation	Subclass B1	nan
CardRes_00191	ARO:3002655	39055	221	205	APH(4)-Ia	APH(4)-Ia	CAA24743.1	V01499	APH(4)	aminoglycoside antibiotic	antibiotic inactivation	aph(4)-Ia_1_V01499	Aminoglycoside	Hygromycin	6314265	Enzymatic modification	Alternative name hph	nan
CardRes_00192	ARO:3000423	36562	614	206	FomA	FomA	BAA32493.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation	fomA_1_AB016934	Fosfomycin	Fosfomycin	7789803	Enzymatic inactivation	nan	nan
CardRes_00193	ARO:3002341	38741	1823	207	GES-12	GES-12	CBG22732.1	FN554543	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaGES-12_1_FN554543	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin"	unpublished	Enzymatic inactivation	Class A; perhaps some carbapenase activity	nan
CardRes_00194	ARO:3002117	38517	1623	208	CMY-105	CMY-105	AHL39330.1	KJ207205	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-105_1_KJ207205	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	Unpublished	Enzymatic inactivation	Class C;CMY-2-like;Natural in Citrobacter freundii;;	nan
CardRes_00195	ARO:3002600	39000	271	209	AAC(3)-Ib/AAC(6')-Ib''	AAC(3)-Ib/AAC(6')-Ib''	AAL82588.1	AF355189	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	aac(3)-Ib-aac(6')-Ib_1_AF355189	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin, Streptomycin"	11850242	Enzymatic modification	nan	nan
CardRes_00196	ARO:3001093	37473	1315	210	SHV-35	SHV-35	AAL68926.1	AY070258	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-35_1_AY070258	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00197	ARO:3001383	37783	2035	211	TEM-206	TEM-206	AGK82336.1	KC783461	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-206_1_KC783461	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00198	ARO:3001416	37816	803	213	OXA-21	OXA-21	CAA71699.2	Y10693	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation							
CardRes_00199	ARO:3001168	37548	1621	214	SHV-121	SHV-121	AEI83429.1	HQ661362	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-121_1_GQ428198	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00200	ARO:3003250	39834	2050	215	bcrC	bcrC	AAA99503.1	L20573	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration							
CardRes_00201	ARO:3002459	38859	5358	216	LEN-9	LEN-9	AXA30439.1	CP016344.1	LEN beta-lactamase	penam;penem	antibiotic inactivation							
CardRes_00202	ARO:3002949	39383	3281	217	vanXA	vanXA	AAA65957.1	M97297	glycopeptide resistance gene cluster;vanX	glycopeptide antibiotic	antibiotic target alteration							
CardRes_00203	ARO:3002665	39065	273	218	npmA	npmA	BAF80809.1	AB261016	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration	npmA_1_AB261016	Aminoglycoside	"Amikacin, Gentamicin, Tobramycin, Dibekacin, Kanamycin, Isepamicin, Netilmicin, Sisomicin, Neomycin, Apramycin"	17875999	Target protection	nan	nan
CardRes_00204	ARO:3002429	38829	962	219	OKP-A-12	OKP-A-12	CAP12354.2	AM850916	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOKP-A-12_1_AM850915	Beta-lactam	unknown	19128913	Enzymatic inactivation	Chromosomal	nan
CardRes_00205	ARO:3000959	37339	1961	220	TEM-92	TEM-92	AAF66653.1	AF143804	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-92_1_AF143804	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00206	ARO:3002112	38512	1194	221	CMY-100	CMY-100	AHA80101.1	KF526113	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-100_1_KF526113	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	24916079	Enzymatic inactivation	Class C;CMY-2-like;Natural in Citrobacter freundii;;	nan
CardRes_00207	ARO:3000840	37220	1483	222	JOHN-1 beta-lactamase	JOHN-1	AAK38324.1	AY028464	JOHN beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaJOHN-1_1_AY028464	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	12562690	Enzymatic inactivation	Chromosomal metallo beta-lactamase	nan
CardRes_00208	ARO:3002332	38732	1708	223	GES-3	GES-3	BAD06399.1	AB113580	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaGES-3_1_AB113580	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin"	15155185	Enzymatic inactivation	Class A; perhaps some carbapenase activity	nan
CardRes_00209	ARO:3002168	38568	1733	224	MIR-2	MIR-2	AAO42602.1	AY227752	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation	blaMIR-2_1_AY227752	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	unpublished	Enzymatic inactivation	Class A	nan
CardRes_00210	ARO:3001948	38348	5891	225	CTX-M-88	CTX-M-88	WP_063860086.1	NZ_SQNR01000043.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-88_1_FJ873739	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	19785534	Enzymatic inactivation	Class A	nan
CardRes_00211	ARO:3001644	38044	1832	226	OXA-113	OXA-113	ABW70410.1	EF653400	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-113_1_EF653400	Beta-lactam	Unknown	17881631	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00212	ARO:3002436	38836	1521	227	OKP-B-3	OKP-B-3	CAJ19611.1	AM051152	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOKP-B-3_1_AM051152	Beta-lactam	unknown	15215087	Enzymatic inactivation	Chromosomal	nan
CardRes_00213	ARO:3000826	37206	5397	228	sdiA	sdiA	AAL20862.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux							
CardRes_00214	ARO:3002973	39407	301	229	vanTmL	vanTmL	ABX54689.1	EU250284	glycopeptide resistance gene cluster;vanT	glycopeptide antibiotic	antibiotic target alteration							
CardRes_00215	ARO:3003160	39737	892	230	OXA-422	OXA-422	AIY30331.1	KM433671	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-422_1_KM433671	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-23-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00216	ARO:3001472	37872	1046	231	OXA-178	OXA-178	ADI58622.1	HM113564	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-178_1_HM113564	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00217	ARO:3003094	39647	1808	232	imiH	imiH	CAD69003.1	AJ548797	CphA beta-lactamase	carbapenem	antibiotic inactivation	imiH_1_AJ548797	Beta-lactam	unknown	12746371	Enzymatic inactivation	nan	nan
CardRes_00218	ARO:3002468	38868	1732	233	LEN-21	LEN-21	CAP12349.2	AM850911	LEN beta-lactamase	penam;penem	antibiotic inactivation	blaLEN21_1_AM850911	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	19128913	Enzymatic inactivation	Chromosomal class A beta-lactamase	nan
CardRes_00219	ARO:3002797	39231	387	234	QnrS8	QnrS8	AHE41345.1	KF730652	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	qnrS8_1_KF730652	Quinolone	Ciprofloxacin	unpublished	Target protection	nan	nan
CardRes_00220	ARO:3001784	38184	1371	235	OXA-181	OXA-181	AEP16366.1	JN205800	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-181_1_CM004561	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	21768505	Enzymatic inactivation	Class D;OXA-48-like;;;	nan
CardRes_00221	ARO:3001840	38240	1583	236	ACT-19	ACT-19	AHM76779.1	KF992029	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00222	ARO:3001181	37561	1388	238	SHV-137	SHV-137	AEI83430.1	HQ661363	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-137_1_HQ661363	Beta-lactam	Unknown	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00223	ARO:3001623	38023	1937	239	OXA-83	OXA-83	ABC26007.1	DQ309277	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-83_1_DQ309277	Beta-lactam	Unknown	"16630258, 17610600"	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00224	ARO:3002925	39359	202	240	vanRF	vanRF	AAR84672.1	AF155139	glycopeptide resistance gene cluster;vanR	glycopeptide antibiotic	antibiotic target alteration							
CardRes_00225	ARO:3001850	38250	1263	241	ACT-30	ACT-30	AIT76086.1	KM087833	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00226	ARO:3001191	37571	1232	242	SHV-152	SHV-152	AFQ23958.1	JX121119	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-152_1_JX121119	Beta-lactam	Unknown	23587957	Enzymatic inactivation	Class A	nan
CardRes_00227	ARO:3001404	37804	1219	243	OXA-9	OXA-9	AAA98406.1	M55547	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-9_1_KQ089875	Beta-lactam	"Amoxicillin, Ampicillin"	8382826	Enzymatic inactivation	Class D;OXA-9-like;;;	nan
CardRes_00228	ARO:3001347	37747	988	244	SHV-164	SHV-164	CCK86744.1	HE981194	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-164_1_HE981194	Beta-lactam	"Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin"	Unpublished	Enzymatic inactivation	Class A	nan
CardRes_00229	ARO:3002695	39129	695	245	cmlA5	cmlA5	AAM77075.1	AY115475	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux							
CardRes_00230	ARO:3001985	38385	1476	246	CTX-M-126	CTX-M-126	BAL72196.1	AB703103	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	blaCTX-M-126_1_AB703103	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	22843833	Enzymatic inactivation	Class A	nan
CardRes_00231	ARO:3001024	37404	1569	247	TEM-158	TEM-158	ABQ00181.1	EF534736	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation	blaTEM-158_1_EF534736	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	17709463	Enzymatic inactivation	Class A	nan
CardRes_00232	ARO:3002442	38842	1998	248	OKP-B-9	OKP-B-9	CAJ19618.1	AM051159	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOKP-B-9_1_AM051159	Beta-lactam	unknown	16304190	Enzymatic inactivation	Chromosomal	nan
CardRes_00233	ARO:3004605	42565	5231	3303	ermZ	ermZ	CAM96571.1	AM709783.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	erm(Z)_1_AM709783	"Macrolide, Lincosamide, Streptogramin B"	"Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S"	18048924	Target modification	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"	nan
CardRes_00234	ARO:3002654	39054	326	251	APH(3')-VIIa	APH(3')-VIIa	AAA76822.1	M29953	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	aph(3')-VIIa_1_M29953	Aminoglycoside	"Kanamycin,Neomycin,Amikacin"	2550983	Enzymatic modification	nan	nan
CardRes_00235	ARO:3002662	39062	514	252	APH(9)-Ia	APH(9)-Ia	AAB58447.1	U94857	APH(9)	aminoglycoside antibiotic	antibiotic inactivation	aph(9)-Ia_1_U94857	Aminoglycoside	Spectinomycin	9174205	Enzymatic modification	nan	nan
CardRes_00236	ARO:3003069	39549	123	253	vanXYG	vanXYG	ABA71732.1	DQ212986	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration							
CardRes_00237	ARO:3001455	37855	1923	254	OXA-150	OXA-150	ACX31142.1	GQ853681	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-150_1_GQ853681	Beta-lactam	Unknown	21831604	Enzymatic inactivation	Class D;OXA-51-like;Natural in Acinetobacter baumannii;;	nan
CardRes_00238	ARO:3002032	38432	957	256	CMY-21	CMY-21	AAZ66866.1	DQ139328	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-21_1_DQ139328	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	"16716570, 16879949"	Enzymatic inactivation	Class C;CMY-2-like;;;	nan
CardRes_00239	ARO:3003172	39749	1735	257	ACT-37	ACT-37	AJG06172.1	KM926622	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation							
CardRes_00240	ARO:3001486	37886	1926	258	OXA-208	OXA-208	CCA94644.1	FR853176	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation							
CardRes_00241	ARO:3000592	36731	4244	260	ErmN	ErmN	CAA66307.2	X97721.2	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	erm(N)_1_X97721	"Macrolide, Lincosamide, Streptogramin B"	"Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S"	8973363	Target modification	"23S rRNA methylase; Azithromycin, Spiramycin resistance in Staphylococcus sp. and Streptococcus sp.; If inducible phenotype, patterns of spiramycin, lincomycin and clindamycin resistance may vary"	nan
CardRes_00242	ARO:3002078	38478	1994	261	CMY-65	CMY-65	AEI52842.1	JF780936	CMY beta-lactamase	cephamycin	antibiotic inactivation	blaCMY-65_1_JF780936	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid"	18287296	Enzymatic inactivation	Class C;CMY-2-like;Natural in Citrobacter freundii;;	nan
CardRes_00243	ARO:3002278	38678	1084	262	VIM-8	VIM-8	AAS13759.1	AY524987	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	blaVIM-8_1_AY524987 	Beta-lactam	"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam"	15528701	Enzymatic inactivation	Subclass B1	nan
CardRes_00244	ARO:3002856	39290	66	263	dfrA24	dfrA24	CAI99385.1	AJ972619	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	dfrA24_1_AJ972619	Folate pathway antagonist	Trimethoprim	17307981	nan	nan	nan
CardRes_00245	ARO:3003206	39790	5177	264	lsaE	lsaE	AAL05554.1	AF408195.1	ABC-F ATP-binding cassette ribosomal protection protein	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	lnu(B)_2_JQ861959  	Lincosamide	"Lincomycin, Clindamycin"	22899804	Enzymatic inactivation 	Lincosamide nucleotidyltransferase; Alternative name lin(B)	nan
CardRes_00246	ARO:3001175	37555	900	265	SHV-128	SHV-128	ADE58494.1	GU932590	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	blaSHV-128_1_GU932590	Beta-lactam	"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin"	25888770	Enzymatic inactivation	Class A	nan
CardRes_00247	ARO:3002727	39161	213	266	QnrB13	QnrB13	ABX72042.1	EU273755	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection							
CardRes_00248	ARO:3001770	38170	1303	267	OXA-43	OXA-43	CAD32565.1	AJ488303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	blaOXA-43_1_AJ488303	Beta-lactam	None	12356787	Enzymatic inactivation	Class D;OXA-42-like;Natural in Burkholderia pseudomallei;;Oxacillin-hydrolysing beta-lactamases	nan
CardRes_00249	ARO:3003097	39650	1744	268	CfxA6	CfxA6	ACT97371.1	GQ342996	CfxA beta-lactamase	cephamycin	antibiotic inactivation	cfxA6_1_GQ342996	Beta-lactam	unknown	19713526	Enzymatic inactivation	Chromosomal	nan
